so_hieu,title,clause_type,content,parent_content,grandparent_content,keyword,reason_not_relation,suggested_label,audit_status
03/VBHN-BXD,Văn bản hợp nhất năm 2023 hợp nhất Nghị định về quản lý đầu tư phát triển đô thị do Bộ Xây dựng ban hành,khoan,"1. Ủy ban nhân dân cấp tỉnh chỉ đạo rà soát, bổ sung dự án vào danh mục các dự án của khu vực phát triển đô thị, đảm bảo các dự án thực hiện theo đúng kế hoạch thực hiện khu vực phát triển đô thị và các quy định tại Nghị định này.",Điều 49. Xử lý chuyển tiếp đối với các dự án đã được giao trên cơ sở tuân thủ quy hoạch chung và quy hoạch phân khu được cấp có thẩm quyền phê duyệt,,bổ sung,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
122/QĐ-UBND,"Quyết định năm 2024 công bố thủ tục hành chính mới, sửa đổi, bổ sung, bị bãi bỏ lĩnh vực Khám bệnh, chữa bệnh, Dược phẩm thuộc thẩm quyền giải quyết của Sở Y tế tỉnh Ninh Bình",dieu,"Điều 1. Công bố kèm theo Quyết định này 24 thủ tục hành chính (Phụ lục I) mới ban hành, sửa đổi, bổ sung trong lĩnh vực Khám bệnh, chữa bệnh, Dược phẩm thuộc thẩm quyền giải quyết của Sở Y tế tỉnh Ninh Bình.",,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
35-L/CTN,Bộ luật lao động 1994 35-L/CTN,khoan,"2- Trong trường hợp thoả ước tập thể hết hiệu lực do doanh nghiệp chấm dứt hoạt động, thì quyền lợi của người lao động được giải quyết theo Điều 66 của Bộ luật này.",Điều 52.,,hết hiệu lực,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
27/2026/TT-BGDĐT,Thông tư quy định chuẩn nghề nghiệp giáo viên trường dự bị đại học do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành,diem,"b) Hướng dẫn, hỗ trợ đồng nghiệp cập nhật và vận dụng linh hoạt, hiệu quả các phương pháp, hình thức dạy học; các hình thức, phương pháp kiểm tra, đánh giá kết quả học tập, rèn luyện và sự tiến bộ của học sinh;",3. Đối với hạng I,"Điều 6. Tiêu chuẩn về năng lực chuyên môn, nghiệp vụ",hướng dẫn,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
34/2013/QĐ-UBND,Quyết định về biểu giá nước sạch dùng cho sinh hoạt của dân cư trên địa bàn tỉnh Sóc Trăng do Công ty trách nhiệm hữu hạn một thành viên Cấp nước Sóc Trăng cung cấp,dieu,Điều 2. Quyết định này có hiệu lực thi hành sau 10 ngày kể từ ngày ký và thay thế các quyết định trước đây của Ủy ban nhân dân tỉnh Sóc Trăng ban hành biểu giá nước sạch sinh hoạt dân dụng trên địa bàn tỉnh Sóc Trăng.,,,thay thế,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
104/2016/QH13,Luật tiếp cận thông tin 2016,khoan,"1. Trường hợp phát hiện thông tin do mình tạo ra và đã được công khai không chính xác thì cơ quan đó có trách nhiệm kịp thời đính chính, công khai thông tin đã được đính chính.",Điều 22. Xử lý thông tin công khai không chính xác,,đính chính,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
06/2017/QĐ-UBND,Quyết định quy chế Bảo vệ bí mật nhà nước Điện Biên,khoan,"2. Người đứng đầu cơ quan, tổ chức thực hiện việc kiểm tra định kỳ hoặc đột xuất trong lĩnh vực Bảo vệ bí mật nhà nước đối với các đơn vị trong phạm vi quản lý của mình theo quy định tại các Khoản 3, Khoản 4, Điều 24 của Nghị định số 33/2002/NĐ-CP ngày 28/03/2002 của Chính phủ quy định chi tiết thi hành Pháp lệnh Bảo vệ bí mật nhà nước.","Điều 24. Thanh tra, kiểm tra, xử lý vi phạm và giải quyết khiếu nại, tố cáo trong lĩnh vực Bảo vệ bí mật nhà nước",,quy định chi tiết,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
797/NQ-UBTVQH14,Nghị quyết 2019 phân bổ nguồn vốn cho dự án quan trọng quốc gia,dieu,"Điều 1
Phân bổ 5.931 tỷ đồng từ nguồn điều chỉnh giảm nguồn vốn dự kiến bố trí cho các dự án quan trọng quốc gia của Kế hoạch đầu tư công trung hạn giai đoạn 2016-2020 cho các dự án tại các Phụ lục số 1, 2, 3, 4 và 5 kèm theo Nghị quyết này. Giao Chính phủ chỉ đạo các địa phương liên quan hoàn thiện thủ tục đầu tư, giao bổ sung kế hoạch đầu tư công trung hạn giai đoạn 2016-2020 cho các dự án bảo đảm đúng quy định của Luật Đầu tư công.",,,bổ sung,"Keyword bổ sung dùng cho hồ sơ/thông tin/nguồn lực/nhiệm vụ, không phải bổ sung điều khoản hoặc văn bản pháp luật.",none,pending
27/2026/TT-BGDĐT,Thông tư quy định chuẩn nghề nghiệp giáo viên trường dự bị đại học do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành,diem,"c) Vận dụng linh hoạt các kiến thức để tư vấn tâm lý, hướng nghiệp cho học sinh; có khả năng hướng dẫn, hỗ trợ đồng nghiệp triển khai có hiệu quả các biện pháp tư vấn tâm lý, hướng nghiệp phù hợp với từng đối tượng học sinh trong hoạt động dạy học và giáo dục;",3. Đối với hạng I,"Điều 6. Tiêu chuẩn về năng lực chuyên môn, nghiệp vụ",hướng dẫn,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
35/2015/QĐ-UBND,Quyết định quy định phân cấp quản lý sử dụng tài sản nhà nước Cao Bằng,diem,"c) Phải thay thế tài sản do yêu cầu đổi mới kỹ thuật, công nghệ theo quyết định của cơ quan nhà nước có thẩm quyền.",1. Các trường hợp bán tài sản nhà nước:,Điều 8. Thẩm quyền quyết định bán tài sản nhà nước,thay thế,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
40/2009/QH12,"Luật khám bệnh, chữa bệnh năm 2009",dieu,"Điều 29. Thu hồi chứng chỉ hành nghề, đình chỉ hành nghề",,,đình chỉ,"Keyword đình chỉ/ngưng hiệu lực áp vào hoạt động, giấy phép hoặc dự án, không phải hiệu lực văn bản/điều khoản.",none,pending
105/2006/NĐ-CP,Nghị định bảo vệ quyền sở hữu trí tuệ quản lý nhà nước hướng dẫn Luật Sở hữu trí tuệ,khoan,"1. Giám định bổ sung được thực hiện trong trường hợp kết luận giám định chưa đầy đủ, rõ ràng về các nội dung cần giám định hoặc có phát sinh tình tiết mới cần làm rõ. Yêu cầu giám định bổ sung và việc thực hiện giám định bổ sung phải tuân theo các quy định đối với giám định lần đầu.","Điều 50. Giám định bổ sung, giám định lại",,bổ sung,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
297/QĐ-UBND,Quyết định năm 2025 phê duyệt quy trình nội bộ giải quyết thủ tục hành chính trong lĩnh vực Tài nguyên nước thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Môi trường Thành phố Hồ Chí Minh,diem,"b) Thường xuyên rà soát, cập nhật các quy trình nội bộ giải quyết thủ tục hành chính được phê duyệt mới, sửa đổi, bổ sung, thay thế, bãi bỏ để triển khai thực hiện.","3. Cơ quan, đơn vị thực hiện thủ tục hành chính có trách nhiệm:",Điều 2. Phương thức thực hiện,sửa đổi,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
81/2015/QH13,Luật kiểm toán nhà nước 2015,dieu,"Điều 73. Quy định chi tiết
Ủy ban thường vụ Quốc hội, Tổng Kiểm toán nhà nước quy định chi tiết các điều, khoản được giao trong Luật.
Luật này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XIII, kỳ họp thứ 9 thông qua ngày 24 tháng 6 năm 2015.
[TABLE] <table border=""0"" cellpadding=""0"" cellspacing=""0""><!--VABWAFAATABfADIAMAAyADUAMAAxADAAOAA=-->
<tbody><tr>
<td style=""padding:0cm 5.4pt 0cm 5.4pt"" valign=""top"">
<p style=""margin-top:6.0pt""> </p>
</td>
<td style=""padding:0cm 5.4pt 0cm 5.4pt"" valign=""top"">
<p align=""center"" style=""margin-top:6.0pt;text-align:center""><b>CHỦ TỊCH QUỐC HỘI<br/>
<br/>
<br/>
<br/>
<br/>
  Nguyễn Sinh Hùng</b></p>
</td>
</tr>
</tbody></table> [#TABLE]",,,quy định chi tiết,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
01082/QĐ-UBND,"Quyết định năm 2025 công bố thủ tục hành chính được sửa đổi, bổ sung lĩnh vực Lâm nghiệp và Kiểm lâm thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Môi trường tỉnh Đắk Lắk",dieu,"Điều 1. Công bố kèm theo Quyết định này thủ tục hành chính được sửa đổi, bổ sung lĩnh vực lâm nghiệp và kiểm lâm thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Môi trường, chi tiết tại Phụ lục kèm theo.",,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
27/2026/TT-BGDĐT,Thông tư quy định chuẩn nghề nghiệp giáo viên trường dự bị đại học do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành,diem,"a) Hướng dẫn được đồng nghiệp xây dựng và thực hiện kế hoạch, chương trình các môn học bồi dưỡng dự bị đại học; vận dụng sáng tạo hoặc phổ biến, hướng dẫn đồng nghiệp sử dụng kết quả nghiên cứu khoa học hoặc sáng kiến để nâng cao chất lượng dạy học và giáo dục;",3. Đối với hạng I,"Điều 6. Tiêu chuẩn về năng lực chuyên môn, nghiệp vụ",hướng dẫn,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
105/2006/NĐ-CP,Nghị định bảo vệ quyền sở hữu trí tuệ quản lý nhà nước hướng dẫn Luật Sở hữu trí tuệ,khoan,"3. Trong trường hợp đơn yêu cầu xử lý xâm phạm chưa đủ tài liệu, chứng cứ, hiện vật cần thiết, thì cơ quan xử lý xâm phạm yêu cầu người nộp đơn bổ sung tài liệu, chứng cứ và ấn định thời hạn hợp lý nhưng không quá ba mươi ngày để người yêu cầu xử lý xâm phạm bổ sung tài liệu, chứng cứ cần thiết.",Điều 27. Nộp đơn và giải quyết đơn yêu cầu xử lý xâm phạm,,bổ sung,"Keyword bổ sung dùng cho hồ sơ/thông tin/nguồn lực/nhiệm vụ, không phải bổ sung điều khoản hoặc văn bản pháp luật.",none,pending
70/2006/QH11,Luật chứng khoán 2006,khoan,"2. Hồ sơ, thủ tục chấp thuận việc chia, tách, sáp nhập, hợp nhất, chuyển đổi được thực hiện theo quy định của Bộ Tài chính.","Điều 69. Chia, tách, sáp nhập, hợp nhất, chuyển đổi công ty chứng khoán, công ty quản lý quỹ",,hợp nhất,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
571/QĐ-UBND,"Quyết định năm 2013 công bố thủ tục hành chính sửa đổi thuộc lĩnh vực nông, lâm nghiệp áp dụng tại cấp huyện trên địa bàn tỉnh Lào Cai",dieu,"Điều 1. Công bố kèm theo Quyết định này 01 thủ tục hành chính được sửa đổi, 02 thủ tục hành chính ban hành mới thuộc lĩnh vực nông, lâm nghiệp áp dụng tại cấp huyện trên địa bàn tỉnh Lào Cai.
(có phụ lục kèm theo)",,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
297/QĐ-UBND,Quyết định năm 2025 phê duyệt quy trình nội bộ giải quyết thủ tục hành chính trong lĩnh vực Tài nguyên nước thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Môi trường Thành phố Hồ Chí Minh,khoan,"2. Sở Nông nghiệp và Môi trường tiếp tục theo dõi, kịp thời tham mưu điều chỉnh quy trình nội bộ giải quyết thủ tục hành chính khi văn bản quy định thủ tục hành chính được ban hành mới, thay thế, sửa đổi, bổ sung, bãi bỏ.",Điều 2. Phương thức thực hiện,,thay thế,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
27/2026/TT-BGDĐT,Thông tư quy định chuẩn nghề nghiệp giáo viên trường dự bị đại học do Bộ trưởng Bộ Giáo dục và Đào tạo ban hành,diem,"đ) Hỗ trợ đồng nghiệp trong hoạt động tư vấn tâm lý, hướng nghiệp cho học sinh dự bị đại học; chủ động đề xuất các hoạt động giáo dục gìn giữ bản sắc văn hóa dân tộc, xây dựng khối đại đoàn kết toàn dân tộc trong nhà trường; tham gia đánh giá, hướng dẫn học sinh hoặc giáo viên trong các cuộc thi hoặc hội thi trong trường dự bị đại học;","2. Đối với hạng II
Giáo viên dự bị đại học hạng II phải thực hiện các nhiệm vụ quy định tại khoản 1 Điều này và các nhiệm vụ sau:",Điều 3. Nhiệm vụ của giáo viên dự bị đại học,hướng dẫn,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
3029/QĐ-UBND,Quyết định 2022 điều chỉnh Kế hoạch sử dụng đất huyện Hải Hà Quảng Ninh,dieu,"Điều 1. Phê duyệt điều chỉnh, bổ sung Kế hoạch sử dụng đất năm 2022 của huyện Hải Hà với các nội dung như sau:",,,bổ sung,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
70/2006/QH11,Luật chứng khoán 2006,diem,"đ) Bị đình chỉ, huỷ bỏ đợt chào bán chứng chỉ quỹ đại chúng.","3. Trong thời hạn hai mươi bốn giờ, kể từ khi xảy ra một trong các sự kiện sau đây của quỹ đại chúng, công ty quản lý quỹ phải báo cáo Sở giao dịch chứng khoán hoặc Trung tâm giao dịch chứng khoán để các tổ chức này công bố thông tin theo quy định tại khoản 2 Điều 107 của Luật này:",Điều 105. Công bố thông tin về quỹ đại chúng,đình chỉ,"Keyword đình chỉ/ngưng hiệu lực áp vào hoạt động, giấy phép hoặc dự án, không phải hiệu lực văn bản/điều khoản.",none,pending
1387/QĐ-UBND,"Quyết định năm 2025 công bố Danh mục thủ tục hành chính được sửa đổi, bổ sung, bãi bỏ trong lĩnh vực Đầu tư theo phương thức đối tác công tư; Đấu thầu lựa chọn nhà đầu tư thuộc thẩm quyền giải quyết của cấp tỉnh, do Sở Tài chính tỉnh Phú Thọ thực hiện việc tiếp nhận hồ sơ và trả kết quả",dieu,"Điều 1. Công bố kèm theo Quyết định này Danh mục thủ tục hành chính sửa đổi, bổ sung (03 TTHC cấp tỉnh), bãi bỏ (02 TTHC cấp tỉnh) trong lĩnh vực đầu tư theo phương thức đối tác công tư; đấu thầu lựa chọn nhà đầu tư thuộc thẩm quyền giải quyết của cấp tỉnh, do Sở Tài chính thực hiện việc tiếp nhận hồ sơ và trả kết quả (Chi tiết tại Danh mục Phụ lục kèm theo Quyết định).",,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
104/2016/QH13,Luật tiếp cận thông tin 2016,khoan,"2. Trường hợp phát hiện thông tin do cơ quan khác tạo ra nhưng do mình công khai không chính xác thì cơ quan đã công khai thông tin có trách nhiệm kịp thời đính chính, công khai thông tin đã được đính chính.",Điều 22. Xử lý thông tin công khai không chính xác,,đính chính,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
35/2015/QĐ-UBND,Quyết định quy định phân cấp quản lý sử dụng tài sản nhà nước Cao Bằng,diem,"a) Căn cứ dự toán hàng năm hoặc dự toán bổ sung đã được cấp có thẩm quyền phê duyệt, Chủ tịch Ủy ban nhân dân tỉnh quyết định việc bảo dưỡng, sửa chữa đối với tài sản là nhà, công trình kiến trúc của các cơ quan, tổ chức, đơn vị thuộc phạm vi quản lý có giá trị từ 01 tỷ đồng trở lên.","1. Đối với tài sản là nhà, công trình kiến trúc:","Điều 10. Thẩm quyền quyết định bảo dưỡng, sửa chữa tài sản nhà nước
Tài sản nhà nước phải được bảo dưỡng, sửa chữa theo đúng chế độ, tiêu chuẩn, định mức kinh tế - kỹ thuật do cơ quan có thẩm quyền ban hành. Thẩm quyền quyết định bảo dưỡng, sửa chữa tài sản nhà nước như sau:",bổ sung,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
03/VBHN-BXD,Văn bản hợp nhất năm 2023 hợp nhất Nghị định về quản lý đầu tư phát triển đô thị do Bộ Xây dựng ban hành,diem,"a) Tùy theo điều kiện của địa phương, Chủ tịch Ủy ban nhân dân cấp tỉnh quyết định thành lập Ban Quản lý khu vực phát triển đô thị theo các quy định tại khoản 2 Điều này, Ban Quản lý khu vực phát triển đô thị là đơn vị sự nghiệp trực thuộc Ủy ban nhân dân cấp tỉnh, có tư cách pháp nhân, có con dấu riêng, chịu sự chỉ đạo, quản lý về tổ chức và hoạt động của Ủy ban nhân dân cấp tỉnh, chịu sự chỉ đạo, hướng dẫn về chuyên môn nghiệp vụ của Sở Xây dựng và các Sở quản lý chuyên ngành tại địa phương;","1. Vị trí, chức năng của Ban Quản lý khu vực phát triển đô thị:",Điều 13. Ban Quản lý khu vực phát triển đô thị,hướng dẫn,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
1860/QĐ-UBND,Quyết định 2019 phê duyệt Kế hoạch hoạt động khoa học công nghệ An Giang,khoan,"7. Tình hình thực hiện các dự án sử dụng vốn đầu tư phát triển cho khoa học và công nghệ:
Nhằm tăng cường tiềm lực về KH&CN, tỉnh đã triển khai đầu tư xây dựng các dự án bắt đầu từ năm 2016, tỉnh đã triển khai thực hiện 04 dự án phát triển cơ sở vật chất về khoa học và công nghệ, 01 dự án trong giai đoạn chuẩn bị đầu tư (Dự án Đầu tư trang thiết bị cho Trung tâm Ứng dụng tiến bộ khoa học và công nghệ giai đoạn 2016 – 2020) với tổng mức đầu tư của 05 dự án là 407,144 tỷ đồng gồm:
- Dự án đầu tư xây dựng Trung tâm Công nghệ sinh học An Giang;
- Dự án Tăng cường trang thiết bị Trung tâm Công nghệ sinh học An Giang;
- Dự án Đầu tư mua sắm thay thế thiết bị chuẩn đo lường giai đoạn 2016-2020;
- Dự án Đầu tư trang thiết bị cho Trung tâm Ứng dụng tiến bộ khoa học và công nghệ giai đoạn 2016 - 2020;
- Dự án đầu tư xây dựng Trụ sở Sở Khoa học và Công nghệ An Giang.
Nhìn chung, việc đầu tư phát triển tiềm lực KH&CN của tỉnh cho các tổ chức KH&CN của các Sở, ngành rất được quan tâm và tạo thuận lợi cho việc triển khai thực hiện, cụ thể:
- Năm 2016 bố trí kế hoạch vốn 40,578 tỷ đồng, trong đó chuẩn bị đầu tư: 0,2 tỷ đồng, thực hiện đầu tư: 40,378 tỷ đồng, giải ngân: 40,341 tỷ đồng.
- Năm 2017 bố trí kế hoạch vốn 78,555 tỷ đồng, trong đó thực hiện đầu tư: 78,555 tỷ đồng, giải ngân: 67,043 tỷ đồng.
- Năm 2018 bố trí kế hoạch vốn 49,474 tỷ đồng, trong đó thực hiện đầu tư: 49,474 tỷ đồng, giải ngân: 48,075 tỷ đồng. Có 01 dự án kết thúc (Dự án Đầu tư mua sắm thay thế thiết bị chuẩn đo lường giai đoạn 2016-2020)
- Năm 2019 04 dự án còn lại được bố trí kế hoạch vốn 30,463 tỷ đồng, trong đó thực hiện đầu tư: 30,463 tỷ đồng, ước giải ngân: 30,050 tỷ đồng.","Điều 1. Phê duyệt Kế hoạch hoạt động khoa học và công nghệ tỉnh An Giang năm 2020, với các nội dung cụ thể như sau:
A. ĐÁNH GIÁ TÌNH HÌNH THỰC HIỆN KẾ HOẠCH VÀ DỰ TOÁN NGÂN SÁCH KHOA HỌC VÀ CÔNG NGHỆ
I. Tình hình thực hiện cơ chế, chính sách về khoa học và công nghệ",,thay thế,"Keyword thay thế dùng cho đối tượng nghiệp vụ, nhân sự hoặc thiết bị, không phải thay thế văn bản pháp luật.",none,pending
17/2025/QĐ-UBND,Quyết định về Quy chế phối hợp quản lý nhà nước về bảo vệ quyền lợi người tiêu dùng trên địa bàn tỉnh Quảng Ngãi,dieu,"Điều 16. Chế độ báo cáo
Định kỳ trước ngày 10 tháng 12 hàng năm hoặc đột xuất (khi có yêu cầu) các sở, ban, ngành; Ủy ban Mặt trận Tổ quốc Việt Nam, các tổ chức chính trị - xã hội các cấp trên địa bàn tỉnh Quảng Ngãi; Ủy ban nhân dân cấp xã; Hội Bảo vệ người tiêu dùng tỉnh, Hiệp hội Doanh nghiệp tỉnh và các tổ chức, cá nhân khác có liên quan đến công tác bảo vệ quyền lợi người tiêu dùng tổng hợp, báo cáo kết quả thực hiện về Ủy ban nhân dân tỉnh (thông qua Sở Công Thương).
Trong quá trình thực hiện, nếu có khó khăn, vướng mắc, các cơ quan, đơn vị, địa phương phản ánh kịp thời về Sở Công Thương để tổng hợp, báo cáo Ủy ban nhân dân tỉnh xem xét, sửa đổi, bổ sung Quy chế để đảm bảo quy định và phù hợp với tình hình thực tế./.",,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
35-L/CTN,Bộ luật lao động 1994 35-L/CTN,dieu,"Điều 197.
Bộ luật này có hiệu lực kể từ ngày 01 tháng 01 năm 1995.
Những quy định trước đây trái với Bộ luật này đều bãi bỏ.",,,bãi bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
35/2015/QĐ-UBND,Quyết định quy định phân cấp quản lý sử dụng tài sản nhà nước Cao Bằng,diem,"b) Căn cứ dự toán được giao hàng năm hoặc dự toán bổ sung đã được cấp có thẩm quyền phê duyệt, thủ trưởng sở, ban, ngành và Chủ tịch Ủy ban nhân dân các huyện, thành phố quyết định việc bảo dưỡng, sửa chữa đối với tài sản là nhà, công trình kiến trúc của các cơ quan, tổ chức, đơn vị thuộc và trực thuộc quản lý có giá trị dưới 01 tỷ đồng.
Trình tự, thủ tục bảo dưỡng, sửa chữa tài sản thực hiện theo quy định của pháp luật về đầu tư xây dựng cơ bản.","1. Đối với tài sản là nhà, công trình kiến trúc:","Điều 10. Thẩm quyền quyết định bảo dưỡng, sửa chữa tài sản nhà nước
Tài sản nhà nước phải được bảo dưỡng, sửa chữa theo đúng chế độ, tiêu chuẩn, định mức kinh tế - kỹ thuật do cơ quan có thẩm quyền ban hành. Thẩm quyền quyết định bảo dưỡng, sửa chữa tài sản nhà nước như sau:",bổ sung,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
03/VBHN-BXD,Văn bản hợp nhất năm 2023 hợp nhất Nghị định về quản lý đầu tư phát triển đô thị do Bộ Xây dựng ban hành,khoan,"11. Hướng dẫn, kiểm tra, thanh tra, giải quyết khiếu nại tố cáo và xử lý vi phạm trong lĩnh vực phát triển đô thị theo thẩm quyền.",Điều 41. Bộ Xây dựng,,hướng dẫn,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
06/2017/QĐ-UBND,Quyết định quy chế Bảo vệ bí mật nhà nước Điện Biên,dieu,"Điều 29. Các sở, ban, ngành, đoàn thể tỉnh; Ủy ban nhân dân các huyện, thị xã, thành phố; các tổ chức chính trị, tổ chức chính trị - xã hội, tổ chức xã hội, tổ chức kinh tế, đơn vị vũ trang nhân dân của Trung ương và địa phương đóng trên địa bàn tỉnh Điện Biên chịu trách nhiệm tổ chức thực hiện nghiêm túc Quy chế này và các quy định của pháp luật có liên quan về Bảo vệ bí mật nhà nước.
Thường xuyên tổ chức tuyên truyền, giáo dục cho cán bộ, công chức, viên chức, người lao động thuộc phạm vi quản lý nâng cao trình độ nhận thức, ý thức trách nhiệm, thực hiện nghiêm công tác bảo vệ bí mật nhà nước tại cơ quan, tổ chức, địa phương mình.
Quá trình thực hiện nếu có khó khăn, vướng mắc, phát sinh, các cơ quan, tổ chức và cá nhân kịp thời phản ánh về Công an tỉnh để tổng hợp, báo cáo Ủy ban nhân dân tỉnh xem xét, quyết định sửa đổi, bổ sung cho phù hợp./.",,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
70/2006/QH11,Luật chứng khoán 2006,khoan,2. Trường hợp tổ chức phát hành là công ty mẹ thì tổ chức phát hành phải nộp báo cáo tài chính hợp nhất theo quy định của pháp luật về kế toán.,Điều 16. Báo cáo tài chính,,hợp nhất,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
34/2021/TT-BGDĐT,Thông tư tiêu chuẩn xét thăng hạng chức danh giáo viên mầm non,diem,b) Đối với trường hợp dự xét thăng hạng từ hạng III lên hạng II: Sử dụng quy định về nhiệm vụ của hạng II để làm căn cứ xét thăng hạng. Lấy điểm chấm minh chứng về các nhiệm vụ của hạng II mà giáo viên hạng III đã thực hiện trong 06 năm liền kề trước thời điểm hết hạn nộp hồ sơ đăng ký dự xét thăng hạng theo thứ tự từ cao xuống thấp cho đến hết chỉ tiêu thăng hạng được cấp có thẩm quyền giao. Hướng dẫn minh chứng và chấm điểm được quy định tại phụ lục kèm theo Thông tư này;,2. Trường hợp số lượng hồ sơ xét thăng hạng đáp ứng yêu cầu tại khoản 1 Điều này nhiều hơn số chỉ tiêu thăng hạng được cấp có thẩm quyền giao thì thực hiện như sau:,Điều 7. Xác định người trúng tuyển trong kỳ xét thăng hạng chức danh nghề nghiệp,hướng dẫn,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
2674/QĐ-UBND,Quyết định điều chỉnh bổ sung kế hoạch sử dụng đất Thừa Thiên Huế 2016,khoan,"1. Tổ chức công bố, công khai điều chỉnh bổ sung kế hoạch sử dụng đất theo đúng quy định,","Điều 2. Căn cứ vào Điều 1 của Quyết định này, Ủy ban nhân dân thành phố Huế có trách nhiệm:",,bổ sung,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
131/QĐ-UBND,Quyết định 2018 quy chế quản lý sử dụng Quỹ Hỗ trợ các lễ hội Lâm Đồng,khoan,"6. Trong quá trình tổ chức thực hiện nếu có khó khăn, vướng mắc, các cơ quan, đơn vị, tổ chức, cá nhân phản ánh về Ủy ban nhân dân tỉnh để xem xét sửa đổi, bổ sung.","Điều 7. Trách nhiệm của các Sở, Ban, ngành được giao nhiệm vụ có sử dụng nguồn kinh phí từ Quỹ:",,sửa đổi,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
59/2024/QH15,Luật tư pháp người chưa thành niên 2024,khoan,"6. Trường hợp người chưa thành niên là bị can, bị cáo đang bị tạm giam mà có thông báo áp dụng thủ tục xử lý chuyển hướng thì cơ quan tiến hành tố tụng xem xét tiếp tục tạm giam hoặc hủy bỏ, thay thế bằng biện pháp ngăn chặn khác.",Điều 138. Áp dụng biện pháp tạm giam,,hủy bỏ,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
303/2006/QĐ-UBND,Quyết định dự toán chi ngân sách năm 2005 từ nguồn tăng thu ngân sách,dieu,"Điều 1:Bổ sung dự toán chi ngân sách năm 2005 từ nguồn tăng thu ngân sách năm 2005 là: 279,8 tỷ (theo danh mục đính kèm).",,,bổ sung,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
